"problem","model","data_file","configuration","status","time","run","solveTime","restarts","backjumps","flatBoolVars","flatIntConstraints","flatIntVars","flatBoolConstraints","trailMem","randomSeed","evaluatedHalfReifiedConstraints","intVars","nodes","peakMem","propagators","boolVariables","initTime","eliminatedImplications","peakDepth","nogoods","optTime","evaluatedReifiedConstraints","flatTime","paths","propagations","nSolutions","variables","failures","baseMem","method","objective"
"prize","data/prize/prize_imp.mzn","data/prize/20-4-5-8.dzn","Chuffed","OPTIMAL_SOLUTION","1.4016115181148052","prize","1.236","110","1211","265","346","99","55","0.42","1615430117","78","121","16266","0.0","633","4510","0.009","","18","13807","1.108","228","0.047065","0","6246595","110","4633","13807","0.0","maximize","20"
"prize","data/prize/prize_orig.mzn","data/prize/21-3-7-5.dzn","Chuffed","OPTIMAL_SOLUTION","3.775727014988661","prize","3.617","149","2649","349","435","125","98","0.42","1615429457","80","147","41338","0.0","759","6009","0.01","20","20","36685","3.554","291","0.048761","0","19179115","149","6158","36685","0.0","maximize","34"
"prize","data/prize/prize_imp.mzn","data/prize/15-3-5-4.dzn","Chuffed","OPTIMAL_SOLUTION","0.35772423073649406","prize","0.219","47","152","160","221","74","40","0.28","1615429873","58","91","2802","0.0","363","2589","0.005","","13","2249","0.216","133","0.040605","0","669655","47","2682","2249","0.0","maximize","46"
"prize","data/prize/prize_orig.mzn","data/prize/16-4-4-8.dzn","Chuffed","OPTIMAL_SOLUTION","0.4752427637577057","prize","0.322","79","118","224","290","95","73","0.28","1615429157","60","112","3285","0.0","459","3557","0.008","15","16","2363","0.3","181","0.048908","0","1062241","79","3671","2363","0.0","maximize","30"
"prize","data/prize/prize_imp.mzn","data/prize/40-5-8-5.dzn","Chuffed","SATISFIED","300.17231135070324","prize","","","","935","1096","199","115","","","158","","","","","","","","","","","858","0.066139","0","","226","","","","maximize","-4907"
"prize","data/prize/prize_orig.mzn","data/prize/28-4-7-0.dzn","Chuffed","OPTIMAL_SOLUTION","31.74770873039961","prize","31.537","187","11885","566","680","167","133","0.63","1615429494","108","196","163691","0.0","1305","10966","0.019","27","28","148625","27.824","487","0.059459","0","136624816","187","11164","148625","0.0","maximize","69"
"prize","data/prize/prize_orig.mzn","data/prize/28-4-7-9.dzn","Chuffed","OPTIMAL_SOLUTION","57.930848613381386","prize","57.653","217","27272","566","680","167","133","0.63","1615429153","108","196","282684","0.0","1305","10698","0.03","27","27","251696","52.257","487","0.060341","0","231607883","217","10896","251696","0.0","maximize","105"
"prize","data/prize/prize_imp.mzn","data/prize/16-4-4-2.dzn","Chuffed","OPTIMAL_SOLUTION","0.35970667377114296","prize","0.166","61","194","179","244","79","43","0.28","1615429942","62","97","2080","0.0","411","2940","0.006","","15","1301","0.156","150","0.044511","0","526725","61","3039","1301","0.0","maximize","25"
"prize","data/prize/prize_imp.mzn","data/prize/18-3-6-2.dzn","Chuffed","OPTIMAL_SOLUTION","0.7353023402392864","prize","0.583","95","572","220","293","89","49","0.28","1615430073","70","109","7424","0.0","516","3760","0.007","","17","5894","0.57","187","0.046392","0","2392278","95","3871","5894","0.0","maximize","43"
"prize","data/prize/prize_orig.mzn","data/prize/32-4-8-3.dzn","Chuffed","OPTIMAL_SOLUTION","294.16389037296176","prize","293.943","281","97935","712","842","191","153","0.63","1615429394","124","224","1173829","0.0","1683","14642","0.023","31","32","1070830","270.961","621","0.064937","0","1093012443","281","14868","1070830","0.0","maximize","83"
"prize","data/prize/prize_orig.mzn","data/prize/45-5-9-4.dzn","Chuffed","SATISFIED","300.1077470295131","prize","","","","1297","1479","269","218","","","176","","","","","","","44","","","","1167","0.091194","0","","274","","","","maximize","-7887"
"prize","data/prize/prize_orig.mzn","data/prize/15-3-5-9.dzn","Chuffed","OPTIMAL_SOLUTION","0.3493364378809929","prize","0.181","65","142","202","264","89","68","0.28","1615429156","56","105","2309","0.0","408","3182","0.006","14","14","1482","0.178","162","0.043051","0","581588","65","3289","1482","0.0","maximize","38"
"prize","data/prize/prize_orig.mzn","data/prize/21-3-7-6.dzn","Chuffed","OPTIMAL_SOLUTION","3.8180479742586613","prize","3.642","113","3574","349","435","125","98","0.42","1615429463","80","147","41468","0.0","759","6251","0.011","20","20","36290","3.441","291","0.052868","0","19400939","113","6400","36290","0.0","maximize","37"
"prize","data/prize/prize_imp.mzn","data/prize/12-3-4-3.dzn","Chuffed","OPTIMAL_SOLUTION","0.2501484528183937","prize","0.089","36","135","109","158","59","31","0.19","1615429825","46","73","1185","0.0","237","1734","0.004","","11","779","0.087","88","0.042469","0","186603","36","1809","779","0.0","maximize","49"
"prize","data/prize/prize_imp.mzn","data/prize/9-3-3-7.dzn","Chuffed","OPTIMAL_SOLUTION","0.18012560531497002","prize","0.029","21","26","67","104","44","22","0.19","1615429758","34","55","308","0.0","138","995","0.002","","8","161","0.029","52","0.038857","0","32619","21","1052","161","0.0","maximize","24"
"prize","data/prize/prize_imp.mzn","data/prize/18-3-6-0.dzn","Chuffed","OPTIMAL_SOLUTION","1.076336070895195","prize","0.932","94","1623","220","293","89","49","0.28","1615430115","70","109","14954","0.0","516","3809","0.007","","16","12336","0.89","187","0.043346","0","4459658","94","3920","12336","0.0","maximize","33"
"prize","data/prize/prize_orig.mzn","data/prize/40-5-8-5.dzn","Chuffed","SATISFIED","300.18786326795816","prize","","","","1052","1214","239","193","","","156","","","","","","","39","","","","937","0.074999","0","","226","","","","maximize","-4907"
"prize","data/prize/prize_orig.mzn","data/prize/30-5-6-5.dzn","Chuffed","OPTIMAL_SOLUTION","74.62227614596486","prize","74.41","204","21256","637","759","179","143","0.63","1615429469","116","210","361258","0.0","1488","12135","0.021","29","30","336464","63.78","552","0.063279","0","339872207","204","12347","336464","0.0","maximize","104"
"prize","data/prize/prize_imp.mzn","data/prize/28-4-7-2.dzn","Chuffed","OPTIMAL_SOLUTION","43.932824332267046","prize","43.734","219","38428","485","598","139","79","0.63","1615429965","110","169","249893","0.0","1221","8979","0.016","","26","208264","40.732","432","0.053363","0","152444280","219","9150","208264","0.0","maximize","91"
"prize","data/prize/prize_imp.mzn","data/prize/21-3-7-8.dzn","Chuffed","OPTIMAL_SOLUTION","2.9209031388163567","prize","2.769","114","4356","289","374","104","58","0.42","1615429627","82","127","36876","0.0","696","5021","0.009","","19","31082","2.726","250","0.044629","0","14539615","114","5150","31082","0.0","maximize","36"
"prize","data/prize/prize_orig.mzn","data/prize/35-5-7-5.dzn","Chuffed","OPTIMAL_SOLUTION","225.2211849167943","prize","224.957","303","68031","832","974","209","168","0.63","1615429157","136","245","787825","0.0","1998","16371","0.029","34","34","713948","189.728","732","0.066071","0","835175279","303","16618","713948","0.0","maximize","114"
"prize","data/prize/prize_imp.mzn","data/prize/15-3-5-0.dzn","Chuffed","OPTIMAL_SOLUTION","0.3578059896826744","prize","0.219","50","293","160","221","74","40","0.28","1615429874","58","91","2813","0.0","363","2600","0.005","","13","2053","0.195","133","0.041124","0","640224","50","2693","2053","0.0","maximize","20"
"prize","data/prize/prize_orig.mzn","data/prize/24-4-6-9.dzn","Chuffed","OPTIMAL_SOLUTION","6.360544830560684","prize","6.102","123","4110","436","534","143","113","0.42","1615429153","92","168","57454","0.0","975","7800","0.025","23","23","51603","5.207","369","0.05307","0","37580706","123","7970","51603","0.0","maximize","59"
"prize","data/prize/prize_orig.mzn","data/prize/15-3-5-2.dzn","Chuffed","OPTIMAL_SOLUTION","0.3807174675166607","prize","0.24","57","161","202","264","89","68","0.28","1615429456","56","105","3207","0.0","408","3223","0.006","14","14","2468","0.231","162","0.043655","0","876487","57","3330","2468","0.0","maximize","34"
"prize","data/prize/prize_orig.mzn","data/prize/20-4-5-2.dzn","Chuffed","OPTIMAL_SOLUTION","1.2057787105441093","prize","0.962","106","1191","322","404","119","93","0.42","1615429153","76","140","11483","0.0","693","5466","0.021","19","19","8990","0.877","267","0.054058","0","5595230","106","5608","8990","0.0","maximize","47"
"prize","data/prize/prize_orig.mzn","data/prize/45-5-9-6.dzn","Chuffed","SATISFIED","300.1861587688327","prize","","","","1297","1479","269","218","","","176","","","","","","","44","","","","1167","0.090797","0","","245","","","","maximize","-8923"
"prize","data/prize/prize_imp.mzn","data/prize/21-3-7-3.dzn","Chuffed","OPTIMAL_SOLUTION","3.422808162868023","prize","3.257","98","3503","289","374","104","58","0.42","1615430067","82","127","41071","0.0","696","4974","0.009","","19","36390","3.062","250","0.049397","0","16840312","98","5103","36390","0.0","maximize","37"
"prize","data/prize/prize_imp.mzn","data/prize/40-5-8-2.dzn","Chuffed","SATISFIED","300.1404936388135","prize","","","","935","1096","199","115","","","158","","","","","","","","","","","858","0.06854","0","","258","","","","maximize","-4899"
"prize","data/prize/prize_orig.mzn","data/prize/18-3-6-0.dzn","Chuffed","OPTIMAL_SOLUTION","1.223950371146202","prize","1.065","94","1499","271","345","107","83","0.28","1615429543","68","126","15270","0.0","570","4573","0.009","17","17","12672","1.006","222","0.050062","0","5676906","94","4701","12672","0.0","maximize","33"
"prize","data/prize/prize_orig.mzn","data/prize/15-3-5-4.dzn","Chuffed","OPTIMAL_SOLUTION","0.4076308347284794","prize","0.255","47","109","202","264","89","68","0.28","1615429385","56","105","3095","0.0","408","3149","0.007","14","14","2530","0.25","162","0.047237","0","868852","47","3256","2530","0.0","maximize","46"
"prize","data/prize/prize_imp.mzn","data/prize/9-3-3-8.dzn","Chuffed","OPTIMAL_SOLUTION","0.18569368496537209","prize","0.031","21","26","67","104","44","22","0.19","1615429839","34","55","299","0.0","138","994","0.003","","8","147","0.03","52","0.040702","0","28501","21","1051","147","0.0","maximize","18"
"prize","data/prize/prize_orig.mzn","data/prize/45-5-9-3.dzn","Chuffed","SATISFIED","300.08743342757225","prize","","","","1297","1479","269","218","","","176","","","","","","","44","","","","1167","0.086333","0","","310","","","","maximize","-7947"
"prize","data/prize/prize_orig.mzn","data/prize/20-4-5-1.dzn","Chuffed","OPTIMAL_SOLUTION","1.4539776518940926","prize","1.216","113","1297","322","404","119","93","0.42","1615429153","76","140","16775","0.0","693","5504","0.021","19","20","14044","1.105","267","0.049749","0","7366247","113","5646","14044","0.0","maximize","40"
"prize","data/prize/prize_imp.mzn","data/prize/12-3-4-2.dzn","Chuffed","OPTIMAL_SOLUTION","0.24145244807004929","prize","0.055","37","48","109","158","59","31","0.19","1615429821","46","73","623","0.0","237","1694","0.004","","10","315","0.054","88","0.042407","0","100364","37","1769","315","0.0","maximize","35"
