"configuration","problem","model","data_file","status","time","run","objective"
"Gecode HR","kidney-exchange","data/mznc2019/kidney-exchange/ccmcp.mzn","data/mznc2019/kidney-exchange/3_20_0.40_3.dzn","","858.52","mznc","1325"
"Gecode HR","kidney-exchange","data/mznc2019/kidney-exchange/ccmcp.mzn","data/mznc2019/kidney-exchange/3_20_0.40_3.dzn","","858.57","mznc","1366"
"Gecode HR","kidney-exchange","data/mznc2019/kidney-exchange/ccmcp.mzn","data/mznc2019/kidney-exchange/3_20_0.40_3.dzn","","860.13","mznc","1380"
"Gecode HR","kidney-exchange","data/mznc2019/kidney-exchange/ccmcp.mzn","data/mznc2019/kidney-exchange/3_20_0.40_3.dzn","","873.02","mznc","1395"
"Gecode HR","kidney-exchange","data/mznc2019/kidney-exchange/ccmcp.mzn","data/mznc2019/kidney-exchange/3_20_0.40_3.dzn","","875.52","mznc","1400"
"Gecode HR","kidney-exchange","data/mznc2019/kidney-exchange/ccmcp.mzn","data/mznc2019/kidney-exchange/3_20_0.40_3.dzn","","875.59","mznc","1410"
"Gecode HR","kidney-exchange","data/mznc2019/kidney-exchange/ccmcp.mzn","data/mznc2019/kidney-exchange/3_20_0.40_3.dzn","","875.72","mznc","1448"
"Gecode HR","kidney-exchange","data/mznc2019/kidney-exchange/ccmcp.mzn","data/mznc2019/kidney-exchange/3_20_0.40_3.dzn","","876.03","mznc","1475"
"Gurobi","lot-sizing","data/mznc2019/lot-sizing/lot_sizing_cp.mzn","data/mznc2019/lot-sizing/pigment20a.psp.dzn","","880.68","mznc","1147"
"CPLEX","skill-allocation","data/mznc2020/skill-allocation/skill_allocation_only.mzn","data/mznc2020/skill-allocation/skill_allocation_mzn_3m_3.dzn","","479.35","mznc","2"
"CPLEX","skill-allocation","data/mznc2020/skill-allocation/skill_allocation_only.mzn","data/mznc2020/skill-allocation/skill_allocation_mzn_2w_1.dzn","","6.64","mznc","3"
"Gecode HR","stack-cuttingstock","data/mznc2019/stack-cuttingstock/stack-cutstock-cumu.mzn","data/mznc2019/stack-cuttingstock/d3.dzn","","0.08","mznc","32"
"Gecode HR","stack-cuttingstock","data/mznc2019/stack-cuttingstock/stack-cutstock-cumu.mzn","data/mznc2019/stack-cuttingstock/d3.dzn","","0.08","mznc","31"
"Gecode HR","stack-cuttingstock","data/mznc2019/stack-cuttingstock/stack-cutstock-cumu.mzn","data/mznc2019/stack-cuttingstock/d3.dzn","","0.09","mznc","30"
"Gecode HR","stack-cuttingstock","data/mznc2019/stack-cuttingstock/stack-cutstock-cumu.mzn","data/mznc2019/stack-cuttingstock/d3.dzn","","0.09","mznc","27"
"Gecode HR","stack-cuttingstock","data/mznc2019/stack-cuttingstock/stack-cutstock-cumu.mzn","data/mznc2019/stack-cuttingstock/d3.dzn","","0.09","mznc","22"
"Gecode HR","stack-cuttingstock","data/mznc2019/stack-cuttingstock/stack-cutstock-cumu.mzn","data/mznc2019/stack-cuttingstock/d3.dzn","","0.09","mznc","21"
"Gecode HR","stack-cuttingstock","data/mznc2019/stack-cuttingstock/stack-cutstock-cumu.mzn","data/mznc2019/stack-cuttingstock/d3.dzn","","0.1","mznc","19"
"Gecode HR","stack-cuttingstock","data/mznc2019/stack-cuttingstock/stack-cutstock-cumu.mzn","data/mznc2019/stack-cuttingstock/d3.dzn","","0.1","mznc","18"
"Gecode HR","stack-cuttingstock","data/mznc2019/stack-cuttingstock/stack-cutstock-cumu.mzn","data/mznc2019/stack-cuttingstock/d3.dzn","","0.1","mznc","17"
"Gecode HR","stack-cuttingstock","data/mznc2019/stack-cuttingstock/stack-cutstock-cumu.mzn","data/mznc2019/stack-cuttingstock/d3.dzn","","0.1","mznc","16"
