"problem","model","data_file","configuration","status","time","run","peakMem","baseMem","nodes","failures","flatTime","randomSeed","solveTime","objective","backjumps","method","variables","boolVariables","propagators","flatBoolConstraints","trailMem","optTime","flatIntVars","peakDepth","nogoods","paths","propagations","flatBoolVars","evaluatedReifiedConstraints","nSolutions","restarts","initTime","flatIntConstraints","intVars","evaluatedHalfReifiedConstraints"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-2.dzn","Chuffed","OPTIMAL_SOLUTION","21.906391229480505","qcp_max","0.0","0.0","37810","33230","0.353687","1615430277","21.199","40","4559","maximize","16232","15975","22802","40","0.19","21.134","236","34","33230","0","37646723","7640","7640","1","1","0.107","7641","255",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-12.dzn","Chuffed","UNKNOWN","300.1767852678895","qcp_max","","","","","0.113976","","","","","maximize","","","","","","","328","","","0","","50","","0","","","101","","100"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-4.dzn","Chuffed","UNKNOWN","300.45082657039165","qcp_max","","","","","0.600393","","","","","maximize","","","","50","","","329","","","0","","15050","15050","0","","","15051","",""
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-8.dzn","Chuffed","OPTIMAL_SOLUTION","190.2975301668048","qcp_max","0.0","0.0","153641","134662","0.613219","1615430329","189.054","50","18930","maximize","30216","29857","45002","50","0.42","188.861","333","61","134662","0","200513741","15050","15050","1","1","0.215","15051","357",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-0.dzn","Chuffed","OPTIMAL_SOLUTION","87.88389392569661","qcp_max","0.0","0.0","118460","110521","0.113629","1615430410","87.61","50","7888","maximize","15060","14704","52","","0.04","87.527","330","58","110521","0","20134350","50","","1","1","0.019","101","354","100"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-13.dzn","Chuffed","UNKNOWN","300.17007898166776","qcp_max","","","","","0.107563","","","","","maximize","","","","","","","90","","","0","","20","","0","","","41","","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-3.dzn","Chuffed","OPTIMAL_SOLUTION","0.4915585294365883","qcp_max","0.0","0.0","4051","2359","0.195669","1615430241","0.104","30","1658","maximize","7578","7403","9452","30","0.08","0.103","159","36","2359","0","587064","3180","3180","1","1","0.043","3181","173",""
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-4.dzn","Chuffed","OPTIMAL_SOLUTION","0.6132868677377701","qcp_max","0.0","0.0","3062","2446","0.201338","1615430282","0.211","30","593","maximize","7610","7434","9452","30","0.08","0.208","160","31","2446","0","1600007","3180","3180","1","1","0.046","3181","174",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-3.dzn","Chuffed","OPTIMAL_SOLUTION","0.21667294204235077","qcp_max","0.0","0.0","24","0","0.104963","1615430414","0.008","20","0","maximize","1762","1660","22","","0.01","0.008","91","23","0","0","422","20","","1","1","0.003","41","100","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-8.dzn","Chuffed","OPTIMAL_SOLUTION","0.8773262612521648","qcp_max","0.0","0.0","5568","4557","0.202819","1615430143","0.47","30","987","maximize","7482","7310","9452","30","0.08","0.466","156","29","4557","0","2602347","3180","3180","1","1","0.047","3181","170",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-4.dzn","Chuffed","UNKNOWN","300.1913483738899","qcp_max","","","","","0.115692","","","","","maximize","","","","","","","329","","","0","","50","","0","","","101","","100"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-11.dzn","Chuffed","OPTIMAL_SOLUTION","0.2782408036291599","qcp_max","0.0","0.0","41","6","0.128869","1615430237","0.008","20","6","maximize","2706","2602","2702","20","0.02","0.008","93","28","6","0","5680","920","920","1","1","0.014","921","102",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-12.dzn","Chuffed","OPTIMAL_SOLUTION","0.49267271906137466","qcp_max","0.0","0.0","6649","3950","0.106539","1615430478","0.284","18","2673","maximize","1740","1639","22","","0.01","0.284","90","25","3950","0","201520","20","","1","1","0.003","41","99","40"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-10.dzn","Chuffed","OPTIMAL_SOLUTION","2.626702841371298","qcp_max","0.0","0.0","9081","8008","0.113942","1615430420","2.39","40","1046","maximize","8674","8416","42","","0.02","2.385","237","43","8008","0","1242957","40","","1","1","0.011","81","256","80"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-1.dzn","Chuffed","OPTIMAL_SOLUTION","30.908891703933477","qcp_max","0.0","0.0","96883","66281","0.329597","1615430294","30.209","40","30564","maximize","16316","16057","22802","40","0.19","30.122","238","47","66281","0","43612877","7640","7640","1","1","0.106","7641","257",""
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-8.dzn","Chuffed","OPTIMAL_SOLUTION","0.2703102119266987","qcp_max","0.0","0.0","54","28","0.128969","1615430281","0.009","20","8","maximize","2596","2497","2702","20","0.02","0.009","88","17","28","0","9373","920","920","1","1","0.014","921","97",""
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-5.dzn","Chuffed","OPTIMAL_SOLUTION","36.736265778541565","qcp_max","0.0","0.0","41926","37067","0.583885","1615430139","35.555","50","4816","maximize","30112","29755","45002","50","0.42","35.448","331","54","37067","0","50479164","15050","15050","1","1","0.213","15051","355",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-10.dzn","Chuffed","OPTIMAL_SOLUTION","0.21663114428520203","qcp_max","0.0","0.0","28","8","0.105883","1615430453","0.008","20","0","maximize","1784","1681","22","","0.01","0.008","92","19","8","0","631","20","","1","1","0.003","41","101","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-0.dzn","Chuffed","OPTIMAL_SOLUTION","4.221947081387043","qcp_max","0.0","0.0","12678","10619","0.352784","1615430346","3.52","40","2022","maximize","16274","16016","22802","40","0.19","3.501","237","44","10619","0","11011072","7640","7640","1","1","0.112","7641","256",""
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-3.dzn","Chuffed","UNKNOWN","300.456526003778","qcp_max","","","","","0.612008","","","","","maximize","","","","50","","","326","","","0","","15050","15050","0","","","15051","",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-0.dzn","Chuffed","OPTIMAL_SOLUTION","3.1133999079465866","qcp_max","0.0","0.0","10011","8678","0.109794","1615430514","2.888","40","1295","maximize","8674","8416","42","","0.02","2.883","237","42","8678","0","1311464","40","","1","1","0.011","81","256","80"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-2.dzn","Chuffed","OPTIMAL_SOLUTION","32.24488877132535","qcp_max","0.0","0.0","57994","51420","0.114109","1615430376","31.99","50","6532","maximize","15060","14704","52","","0.04","31.939","330","54","51420","0","10212491","50","","1","1","0.018","101","354","100"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-1.dzn","Chuffed","OPTIMAL_SOLUTION","0.9974839240312576","qcp_max","0.0","0.0","4847","3483","0.111726","1615430499","0.769","40","1322","maximize","8716","8457","42","","0.02","0.767","238","41","3483","0","381911","40","","1","1","0.011","81","257","80"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-14.dzn","Chuffed","UNKNOWN","300.2404080815613","qcp_max","","","","","0.205097","","","","","maximize","","","","30","","","156","","","0","","3180","3180","0","","","3181","",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-8.dzn","Chuffed","OPTIMAL_SOLUTION","0.3903147280216217","qcp_max","0.0","0.0","1379","1129","0.104954","1615430360","0.178","30","229","maximize","4332","4160","32","","0.02","0.178","156","26","1129","0","103879","30","","1","1","0.006","61","170","60"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-7.dzn","Chuffed","OPTIMAL_SOLUTION","3.8066713996231556","qcp_max","0.0","0.0","20360","14719","0.436682","1615430244","3.019","40","5610","maximize","16400","16139","22802","40","0.19","2.999","240","39","14719","0","12450458","7640","7640","1","1","0.106","7641","259",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-13.dzn","Chuffed","OPTIMAL_SOLUTION","0.2919197417795658","qcp_max","0.0","0.0","648","452","0.107927","1615430425","0.075","30","171","maximize","4364","4191","32","","0.02","0.075","157","27","452","0","43526","30","","1","1","0.006","61","171","60"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-0.dzn","Chuffed","OPTIMAL_SOLUTION","249.78659677505493","qcp_max","0.0","0.0","176853","162713","0.594336","1615430171","248.551","50","14091","maximize","30060","29704","45002","50","0.42","248.362","330","59","162713","0","254318994","15050","15050","1","1","0.211","15051","354",""
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-6.dzn","Chuffed","OPTIMAL_SOLUTION","0.670306384563446","qcp_max","0.0","0.0","3192","2695","0.200854","1615430327","0.266","30","470","maximize","7546","7372","9452","30","0.08","0.263","158","31","2695","0","1604041","3180","3180","1","1","0.046","3181","172",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-12.dzn","Chuffed","UNKNOWN","300.1696520037949","qcp_max","","","","","0.106963","","","","","maximize","","","","","","","157","","","0","","30","","0","","","61","","60"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-5.dzn","Chuffed","OPTIMAL_SOLUTION","0.21843529865145683","qcp_max","0.0","0.0","22","0","0.107177","1615430371","0.008","20","0","maximize","1784","1681","22","","0.01","0.008","92","21","0","0","394","20","","1","1","0.003","41","101","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-12.dzn","Chuffed","OPTIMAL_SOLUTION","221.66524644568563","qcp_max","0.0","0.0","178070","155422","0.347944","1615430177","220.912","40","22620","maximize","16400","16139","22802","40","0.19","220.759","240","42","155422","0","118222269","7640","7640","1","1","0.112","7641","259",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-9.dzn","Chuffed","OPTIMAL_SOLUTION","0.21002665534615517","qcp_max","0.0","0.0","22","1","0.101932","1615430496","0.008","20","0","maximize","1740","1639","22","","0.01","0.008","90","20","1","0","415","20","","1","1","0.003","41","99","40"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-13.dzn","Chuffed","UNKNOWN","300.18140510097146","qcp_max","","","","","0.114079","","","","","maximize","","","","","","","327","","","0","","50","","0","","","101","","100"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-13.dzn","Chuffed","UNKNOWN","300.1793061196804","qcp_max","","","","","0.120596","","","","","maximize","","","","20","","","90","","","0","","920","920","0","","","921","",""
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-2.dzn","Chuffed","OPTIMAL_SOLUTION","116.53024770319462","qcp_max","0.0","0.0","88143","79911","0.585392","1615430153","115.292","50","8191","maximize","30060","29704","45002","50","0.42","115.038","330","65","79911","0","128719097","15050","15050","1","1","0.222","15051","354",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-0.dzn","Chuffed","OPTIMAL_SOLUTION","0.2170477993786335","qcp_max","0.0","0.0","25","3","0.105715","1615430399","0.008","20","0","maximize","1762","1660","22","","0.01","0.008","91","21","3","0","454","20","","1","1","0.003","41","100","40"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-9.dzn","Chuffed","OPTIMAL_SOLUTION","0.2618260085582733","qcp_max","0.0","0.0","487","273","0.108587","1615430362","0.045","30","189","maximize","4428","4253","32","","0.02","0.045","159","28","273","0","22528","30","","1","1","0.007","61","173","60"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/test.dzn","Chuffed","OPTIMAL_SOLUTION","0.2143615148961544","qcp_max","0.0","0.0","3","0","0.106008","1615430201","0.005","4","0","maximize","66","55","14","","0.0","0.005","9","2","0","0","21","4","8","1","1","0.0","9","9",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-14.dzn","Chuffed","OPTIMAL_SOLUTION","1.0421098545193672","qcp_max","0.0","0.0","14851","11858","0.106308","1615430501","0.831","18","2969","maximize","1740","1639","22","","0.01","0.828","90","25","11858","0","546264","20","","1","1","0.003","41","99","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-10.dzn","Chuffed","UNKNOWN","300.45445604994893","qcp_max","","","","","0.648214","","","","","maximize","","","","50","","","328","","","0","","15050","15050","0","","","15051","",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-11.dzn","Chuffed","OPTIMAL_SOLUTION","0.2521408647298813","qcp_max","0.0","0.0","212","128","0.10747","1615430426","0.037","30","57","maximize","4428","4253","32","","0.02","0.037","159","27","128","0","16852","30","","1","1","0.006","61","173","60"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-7.dzn","Chuffed","OPTIMAL_SOLUTION","0.4565335437655449","qcp_max","0.0","0.0","732","602","0.203223","1615430326","0.056","30","101","maximize","7578","7403","9452","30","0.08","0.056","159","34","602","0","440050","3180","3180","1","1","0.046","3181","173",""
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-2.dzn","Chuffed","OPTIMAL_SOLUTION","0.2540237233042717","qcp_max","0.0","0.0","26","4","0.119796","1615430169","0.008","20","3","maximize","2618","2518","2702","20","0.02","0.008","89","18","4","0","4843","920","920","1","1","0.013","921","98",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/test.dzn","Chuffed","OPTIMAL_SOLUTION","0.20851482078433037","qcp_max","0.0","0.0","3","0","0.105788","1615430424","0.005","4","0","maximize","66","55","6","","0.0","0.005","9","2","0","0","17","4","","1","1","0.0","9","9","8"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-7.dzn","Chuffed","OPTIMAL_SOLUTION","58.636597875505686","qcp_max","0.0","0.0","93312","81768","0.127034","1615430363","58.339","50","11501","maximize","15008","14653","52","","0.04","58.259","329","56","81768","0","14869040","50","","1","1","0.036","101","353","100"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-5.dzn","Chuffed","OPTIMAL_SOLUTION","0.46067097038030624","qcp_max","0.0","0.0","1668","1467","0.106344","1615430495","0.254","30","179","maximize","4396","4222","32","","0.02","0.254","158","28","1467","0","158566","30","","1","1","0.005","61","172","60"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-13.dzn","Chuffed","OPTIMAL_SOLUTION","1.1510734669864178","qcp_max","0.0","0.0","3494","2503","0.356984","1615430175","0.457","40","967","maximize","16316","16057","22802","40","0.19","0.453","238","38","2503","0","2795076","7640","7640","1","1","0.108","7641","257",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-11.dzn","Chuffed","OPTIMAL_SOLUTION","0.21815814822912216","qcp_max","0.0","0.0","27","0","0.106763","1615430436","0.008","20","0","maximize","1806","1702","22","","0.01","0.008","93","26","0","0","467","20","","1","1","0.003","41","102","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-0.dzn","Chuffed","OPTIMAL_SOLUTION","0.4182647354900837","qcp_max","0.0","0.0","65","32","0.203154","1615430251","0.014","30","2","maximize","7514","7341","9452","30","0.08","0.014","157","30","32","0","31183","3180","3180","1","1","0.049","3181","171",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-6.dzn","Chuffed","OPTIMAL_SOLUTION","0.3478316627442837","qcp_max","0.0","0.0","927","775","0.112699","1615430505","0.128","30","122","maximize","4396","4222","32","","0.02","0.128","158","29","775","0","74862","30","","1","1","0.006","61","172","60"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-5.dzn","Chuffed","OPTIMAL_SOLUTION","0.26531437784433365","qcp_max","0.0","0.0","24","2","0.12906","1615430150","0.008","20","0","maximize","2684","2581","2702","20","0.02","0.008","92","23","2","0","5140","920","920","1","1","0.014","921","101",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-8.dzn","Chuffed","OPTIMAL_SOLUTION","13.32358569279313","qcp_max","0.0","0.0","70480","48661","0.110264","1615430400","13.088","40","21784","maximize","8758","8498","42","","0.02","13.067","239","45","48661","0","5339825","40","","1","1","0.011","81","258","80"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-10.dzn","Chuffed","OPTIMAL_SOLUTION","0.26106735318899155","qcp_max","0.0","0.0","27","6","0.125704","1615430242","0.008","20","0","maximize","2684","2581","2702","20","0.02","0.008","92","20","6","0","4822","920","920","1","1","0.014","921","101",""
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-6.dzn","Chuffed","OPTIMAL_SOLUTION","3.187365561723709","qcp_max","0.0","0.0","9940","9011","0.108939","1615430489","2.963","40","904","maximize","8674","8416","42","","0.02","2.956","237","33","9011","0","1431614","40","","1","1","0.011","81","256","80"
