"configuration","problem","model","data_file","status","time","peakDepth","flatTime","failures","nodes","flatIntConstraints","eliminatedLinearConstraints","flatBoolVars","paths","run","nSolutions","propagations","solveTime","evaluatedHalfReifiedConstraints","variables","flatBoolConstraints","error","objectiveBound","propagators","restarts","openNodes","method","initTime","solutions","objective","flatIntVars","eliminatedImplications","evaluatedReifiedConstraints"
"CBC","lot-sizing","data/mznc2020/lot-sizing/lot_sizing_cp.mzn","data/mznc2020/lot-sizing/pigment15b.psp.dzn","UNKNOWN","1201.1397646777332","","0.33747","","","878","","195","0","mznc","","","","","","","","","","","","minimize","","","","3616","","866"
"Gurobi HR","fox-geese-corn","data/mznc2019/fox-geese-corn/foxgeesecorn.mzn","data/mznc2019/fox-geese-corn/foxgeesecorn_54.dzn","OPTIMAL_SOLUTION","0.2699316330254078","","0.087587","","45","305","36","","0","mznc","1","","0.2374","48","","","","1962","","","1","maximize","","","1962","170","","23"
"Gecode HR","multi-knapsack","data/mznc2019/multi-knapsack/mknapsack_global.mzn","data/mznc2019/multi-knapsack/mknap1-5.dzn","OPTIMAL_SOLUTION","1.1219880692660809","28","0.053053","174678","349357","7","","","0","mznc","1","3212301","0.975314","","45","","","","7","0","","maximize","0.00071","1","10618","45","",""
"CBC","stochastic-vrp","data/mznc2019/stochastic-vrp/vrp-s2-v2-c8_vrp-v2-c8_det.mzn","","UNKNOWN","1201.1305848658085","","0.398338","","","2571","","288","0","mznc","","","","","","","","","","","","minimize","","","","903","","1080"
"SCIP","minimal-decision-sets","data/mznc2020/minimal-decision-sets/sparse_mds.mzn","data/mznc2020/minimal-decision-sets/backache_train4.dzn","OPTIMAL_SOLUTION","729.433398347348","","2.57579","","1189","14085","","","0","mznc","1","","725.7203","","","","","34","","","","minimize","","","34","23775","","3826"
"Gurobi HR","multi-knapsack","data/mznc2019/multi-knapsack/mknapsack_global.mzn","data/mznc2019/multi-knapsack/mknap2-40.dzn","OPTIMAL_SOLUTION","0.14103732258081436","","0.0632","","1","7","","","0","mznc","1","","0.1148","","","","","11191","","","","maximize","","","11191","96","",""
"SCIP","median-string","data/mznc2019/median-string/median_string_dp.mzn","data/mznc2019/median-string/p2_10_8-0.dzn","SATISFIED","1200.6317212544382","","1.76371","","33694","12637","","40","0","mznc","1","","1198.0937","","","","","12.0833333333","","","132","minimize","","","34","8042","","5584"
"Gurobi","fox-geese-corn","data/mznc2019/fox-geese-corn/foxgeesecorn.mzn","data/mznc2019/fox-geese-corn/foxgeesecorn_13.dzn","OPTIMAL_SOLUTION","197.7229872904718","","0.49278","","35575","4305","","","0","mznc","1","","197.6118","","","","","27","","","","maximize","","","27","3099","","1299"
"Gecode","stack-cuttingstock","data/mznc2019/stack-cuttingstock/stack-cutstock-cumu.mzn","data/mznc2019/stack-cuttingstock/d5.dzn","UNKNOWN","1200.0889578014612","64","0.055657","57046669","114093390","493","","72","0","mznc","0","16097823167","1199.92","","535","","","","934","0","","minimize","0.003837","0","","397","","72"
"Gecode","kidney-exchange","data/mznc2019/kidney-exchange/ccmcp.mzn","data/mznc2019/kidney-exchange/3_20_0.25_5.dzn","OPTIMAL_SOLUTION","2.9480051808059216","31","0.136455","126007","252070","81","","","0","mznc","22","19404787","2.72159","","100","","","","80","0","","maximize","0.001133","22","1247","100","",""
"CBC HR","stable-goods","data/mznc2020/stable-goods/stable-goods-solution.mzn","data/mznc2020/stable-goods/s-d6.dzn","UNKNOWN","1201.1300122328103","","0.579063","","","2642","","","0","mznc","","","","956","","","","","","","","maximize","","","","2289","","133"
"SCIP HR","sdn-chain","data/mznc2020/sdn-chain/model.mzn","data/mznc2020/sdn-chain/d10n780-1.dzn","OPTIMAL_SOLUTION","38.82846712693572","","4.35113","","1","29318","2658","1557","0","mznc","1","","33.4403","6045","","","","10","","","","minimize","","","10","15987","","3401"
"Gurobi HR","code-generator","data/mznc2019/code-generator/unison.mzn","data/mznc2019/code-generator/mips_mesa.shapes.auxWireBox.dzn","UNKNOWN","1201.5528801232576","","159.042","","","804733","2762","1338","0","mznc","","","","113072","","","","","","","","minimize","","","","798031","","124096"
"Gecode","liner-sf-repositioning","data/mznc2019/liner-sf-repositioning/tp7_4.mzn","","OPTIMAL_SOLUTION","87.43458141759038","44","0.181704","1220423","2441347","37","","","0","mznc","251","102812362","87.1111","","60","","","","45","0","","minimize","0.004027","251","150674","52","",""
"Gurobi","liner-sf-repositioning","data/mznc2019/liner-sf-repositioning/tp7_2.mzn","","SATISFIED","1200.5657528862357","","2.20456","","107989","802","","18","0","mznc","1","","1200.1217","","","","","0","","","19960","minimize","","","163637","30596","","225"
"SCIP HR","zephyrus","data/mznc2019/zephyrus/zephyrus.mzn","data/mznc2019/zephyrus/12__6__6__3.dzn","OPTIMAL_SOLUTION","4.681366182863712","","0.593151","","5","5571","","88","0","mznc","1","","3.8413","165","","","","780","","","","minimize","","","780","2799","","368"
"Gecode HR","rotating-workforce","data/mznc2019/rotating-workforce/rotating-workforce.mzn","data/mznc2019/rotating-workforce/Example1370.dzn","UNKNOWN","1200.1049846597016","104","0.061477","15551795","31103660","1048","","445","0","mznc","0","6708128584","1199.91","","1313","118","","","1090","0","","satisfy","0.007467","0","","865","","327"
"CPLEX HR","radiation","data/mznc2020/radiation/radiation.mzn","data/mznc2020/radiation/i8-40.dzn","OPTIMAL_SOLUTION","5.475931026041508","","0.688062","","2937","5635","","","0","mznc","1","","4.5412","","","","","4040","","","","minimize","","","4040","5595","",""
"CPLEX","groupsplitter","data/mznc2019/groupsplitter/group.mzn","data/mznc2019/groupsplitter/u9g1pref1.dzn","UNKNOWN","1201.884816903621","","214.81","","","289","","","0","mznc","","","","","","","","","","","","maximize","","","","2616249","",""
"CBC HR","soccer-computational","data/mznc2020/soccer-computational/ecp.mzn","data/mznc2020/soccer-computational/xIGData_28_23_16_1.dzn","UNKNOWN","1201.1388277113438","","1.27885","","","8304","","","0","mznc","","","","","","","","","","","","satisfy","","","","7052","","3132"
"Gecode","rcpsp-wet-diverse","data/mznc2019/rcpsp-wet-diverse/rcpsp-wet-diverse.mzn","data/mznc2019/rcpsp-wet-diverse/j30_27_5-wet-diverse-3.dzn","SATISFIED","1200.7048548422754","76","1.56328","24194277","48388666","15707","","15133","0","mznc","3","1634945731","1198.41","","30483","14879","","","29964","0","","maximize","0.22113","3","264","15346","","261"
