"configuration","problem","model","data_file","status","time","peakDepth","flatTime","failures","nodes","flatIntConstraints","eliminatedLinearConstraints","flatBoolVars","paths","run","nSolutions","propagations","solveTime","evaluatedHalfReifiedConstraints","variables","flatBoolConstraints","error","objectiveBound","propagators","restarts","openNodes","method","initTime","solutions","objective","flatIntVars","eliminatedImplications","evaluatedReifiedConstraints"
"Gecode HR","pentominoes","data/mznc2020/pentominoes/pentominoes-int.mzn","data/mznc2020/pentominoes/05.dzn","SATISFIED","0.8928366005420685","33","0.189787","1943","3902","12","","","0","mznc","1","29192","0.581971","","66","","","","12","0","","satisfy","0.014639","1","","60","",""
"CBC","minimal-decision-sets","data/mznc2020/minimal-decision-sets/sparse_mds.mzn","data/mznc2020/minimal-decision-sets/breast-cancer_train4.dzn","SATISFIED","1194.973683807999","","2.52675","","2933","16974","","","0","mznc","1","","1191.6176","","","","","32.9999946159","","","-1","minimize","","","124","11574","","3546"
"Gurobi HR","is","data/mznc2020/is/model.mzn","data/mznc2020/is/YfFfEiuCQo.dzn","OPTIMAL_SOLUTION","12.959671691060066","","8.8897","","1","11007","317","1605","0","mznc","1","","12.486","3966","","","","141440","","","","minimize","","","141440","31899","","4588"
"CBC HR","amaze","data/mznc2019/amaze/amaze3.mzn","data/mznc2019/amaze/2012-03-29.dzn","SATISFIED","83.53515936434269","","0.251332","","1188","1867","","","0","mznc","1","","83.1481","386","","","","0","","","-1","satisfy","","","0","1611","","868"
"SCIP HR","gbac","data/mznc2020/gbac/gbac.mzn","data/mznc2020/gbac/UD9-gbac.dzn","SATISFIED","1201.1339198350906","","4.86411","","2494","5839","","","0","mznc","","","1195.0356","","","","","0.6","","","2416","minimize","","","9840","59578","","2727"
"Gurobi","accap","data/mznc2019/accap/accap.mzn","data/mznc2019/accap/accap_instance9.dzn","UNKNOWN","1201.1460329778492","","12.3113","","","56036","","","0","mznc","","","","","","","","","","","","minimize","","","","19350","","18818"
"SCIP HR","median-string","data/mznc2019/median-string/median_string_dp.mzn","data/mznc2019/median-string/p2_2_20-2.dzn","SATISFIED","1201.2065235339105","","1.07089","","0","6297","1040","100","0","mznc","","","1198.7648","2080","","","","0","","","","minimize","","","12","2919","","100"
"SCIP HR","pentominoes","data/mznc2020/pentominoes/pentominoes-int.mzn","data/mznc2020/pentominoes/06.dzn","ERROR","","","","","","","","","","mznc","","","","","","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","","","","","","","",""
"Gurobi HR","soccer-computational","data/mznc2020/soccer-computational/ecp.mzn","data/mznc2020/soccer-computational/xIGData_28_22_7_4.dzn","SATISFIED","14.658116571605206","","1.11348","","529","7434","","","0","mznc","1","","14.5007","","","","","0","","","390","satisfy","","","0","6930","","2646"
"CBC HR","pentominoes","data/mznc2020/pentominoes/pentominoes-int.mzn","data/mznc2020/pentominoes/05.dzn","ERROR","","","","","","","","","","mznc","","","","","","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","","","","","","","",""
"Gecode HR","racp","data/mznc2020/racp/racp.mzn","data/mznc2020/racp/j60_10_6_1.25.dzn","UNKNOWN","1200.1255509145558","34","0.343668","6475039","12950085","2176","","2084","0","mznc","0","6883427481","1199.63","2084","2149","1809","","","3768","0","","minimize","0.019822","0","","65","",""
"SCIP HR","triangular","data/mznc2019/triangular/triangular.mzn","data/mznc2019/triangular/n37.dzn","SATISFIED","1201.0771567001939","","4.03367","","13","82252","","","0","mznc","1","","1195.804","","","","","448.774467082","","","13","maximize","","","82","704","",""
"Gecode","stochastic-vrp","data/mznc2019/stochastic-vrp/vrp-s2-v2-c9_vrp-v2-c9_det.mzn","","SATISFIED","1200.0588536709547","45","0.045044","53432281","106864644","161","","","0","mznc","11","7670703235","1199.93","","158","","","","153","0","","minimize","0.001568","11","332","122","",""
"CBC HR","radiation","data/mznc2020/radiation/radiation.mzn","data/mznc2020/radiation/i9-21.dzn","OPTIMAL_SOLUTION","2.6327345967292786","","0.471429","","118","3945","","","0","mznc","1","","1.9736","","","","","2634","","","-1","minimize","","","2634","3877","",""
"Gurobi","stochastic-vrp","data/mznc2019/stochastic-vrp/vrp-s5-v2-c6_vrp-v2-c6_det.mzn","","OPTIMAL_SOLUTION","366.48895620554686","","0.638715","","46442","3976","","420","0","mznc","1","","366.3222","","","","","247","","","","minimize","","","247","1482","","1680"
"Gecode","rotating-workforce","data/mznc2019/rotating-workforce/rotating-workforce.mzn","data/mznc2019/rotating-workforce/Example1337.dzn","UNKNOWN","1200.1174727119505","80","0.071214","9259538","18519126","1152","","490","0","mznc","0","6419889193","1199.9","","1444","130","","","1185","0","","satisfy","0.008802","0","","951","","360"
"Gurobi","code-generator","data/mznc2019/code-generator/unison.mzn","data/mznc2019/code-generator/mips_mesa.shapes.auxWireBox.dzn","UNKNOWN","1201.5771588012576","","155.398","","","891170","","1336","0","mznc","","","","","","","","","","","","minimize","","","","808878","","239884"
"CPLEX HR","cable_tree_wiring","data/mznc2020/cable_tree_wiring/ctw.mzn","data/mznc2020/cable_tree_wiring/A073.dzn","UNKNOWN","1201.2636611238122","","27.369","","","170097","","","0","mznc","","","","","","","","","","","","minimize","","","","148141","","29359"
"CPLEX HR","rotating-workforce","data/mznc2019/rotating-workforce/rotating-workforce.mzn","data/mznc2019/rotating-workforce/Example789.dzn","SATISFIED","13.338737200945616","","5.20476","","0","10761","","94","0","mznc","1","","7.4279","352","","","","0","","","","satisfy","","","0","16837","","1630"
"CBC HR","pillars-and-planks","data/mznc2020/pillars-and-planks/pillars-planks-solution.mzn","data/mznc2020/pillars-and-planks/p-d17.dzn","UNKNOWN","1200.3407457470894","","0.985891","","64250","6712","","41","0","mznc","0","","1198.9683","2548","","","","5","","","-1","minimize","","","1e+308","3691","","123"
"Gurobi","median-string","data/mznc2019/median-string/median_string_dp.mzn","data/mznc2019/median-string/p2_10_8-3.dzn","SATISFIED","1200.4700388275087","","1.80079","","3035","12896","","40","0","mznc","1","","1200.0856","","","","","15.3333333333","","","952","minimize","","","36","8197","","5676"
"Gecode","hrc","data/mznc2019/hrc/hrc.mzn","data/mznc2019/hrc/exp2-1-5145.dzn","UNKNOWN","1200.2208638861775","110","0.334144","6532717","13065477","3624","","5360","0","mznc","0","2123299621","1199.64","","8119","2143","","","5685","0","","minimize","0.048705","0","","1380","","2989"
"CPLEX HR","ptv","data/mznc2019/ptv/pax_model.mzn","data/mznc2019/ptv/pax_period_20_5b.dzn","OPTIMAL_SOLUTION","1.3569748885929585","","1.1768","","1","1072","15","","0","mznc","1","","0.0239","31","","","","2897","","","","minimize","","","2897","3177","","983"
"CBC HR","lot-sizing","data/mznc2020/lot-sizing/lot_sizing_cp.mzn","data/mznc2020/lot-sizing/pigment30c.psp.dzn","UNKNOWN","1201.1708529181778","","0.934293","","","2567","","480","0","mznc","","","","464","","","","","","","","minimize","","","","10645","","1644"
"Gecode HR","accap","data/mznc2019/accap/accap.mzn","data/mznc2019/accap/accap_instance9.dzn","SATISFIED","1200.1883733607829","532","0.299926","1054968","2113222","8992","","","0","mznc","66","7581178070","1199.68","","532","","","","8993","0","","minimize","0.033546","66","2415","532","",""
"SCIP","amaze","data/mznc2019/amaze/amaze3.mzn","data/mznc2019/amaze/mod2012-03-29.dzn","SATISFIED","135.78260107710958","","0.274749","","9264","1808","","","0","mznc","1","","135.3487","","","","","0","","","","satisfy","","","0","2983","","1934"
"CBC","triangular","data/mznc2019/triangular/triangular.mzn","data/mznc2019/triangular/n23.dzn","UNKNOWN","1201.1410481110215","","0.516745","","","12651","","","0","mznc","","","","","","","","","","","","maximize","","","","277","",""
"SCIP HR","tower_challenge","data/mznc2020/tower_challenge/tower.mzn","data/mznc2020/tower_challenge/tower_070_070_15_100-04.dzn","SATISFIED","1200.5780444703996","","2.10097","","607","14001","","1600","0","mznc","1","","1197.7536","","","","","100","","","119","maximize","","","33","5121","","6040"
"CPLEX HR","pentominoes","data/mznc2020/pentominoes/pentominoes-int.mzn","data/mznc2020/pentominoes/05.dzn","ERROR","","","","","","","","","","mznc","","","","","","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","","","","","","","",""
"CPLEX","racp","data/mznc2020/racp/racp.mzn","data/mznc2020/racp/j60_48_9_1.0.dzn","SATISFIED","1201.102083493024","","4.70047","","16207","30041","","","0","mznc","1","","1190.5623","","","","","577.999999995","","","10106","minimize","","","771","12210","","8580"
"CPLEX","code-generator","data/mznc2019/code-generator/unison.mzn","data/mznc2019/code-generator/mips_mesa.shapes.auxWireBox.dzn","UNKNOWN","1201.8075610995293","","152.836","","","907666","","1338","0","mznc","","","","","","","","","","","","minimize","","","","808764","","239884"
"CPLEX HR","multi-knapsack","data/mznc2019/multi-knapsack/mknapsack_global.mzn","data/mznc2019/multi-knapsack/mknap2-40.dzn","OPTIMAL_SOLUTION","0.1450723558664322","","0.064436","","0","7","","","0","mznc","1","","0.0099","","","","","11191","","","","maximize","","","11191","96","",""
"SCIP","zephyrus","data/mznc2019/zephyrus/zephyrus.mzn","data/mznc2019/zephyrus/12__10__8__3.dzn","OPTIMAL_SOLUTION","4.807045545428991","","0.584634","","6","5390","","100","0","mznc","1","","3.9771","","","","","3120","","","","minimize","","","3120","2702","","593"
"SCIP","ptv","data/mznc2019/ptv/pax_model.mzn","data/mznc2019/ptv/pax_period_20_3b.dzn","OPTIMAL_SOLUTION","1.5025396831333637","","1.17698","","1","1132","","","0","mznc","1","","0.153","","","","","3845","","","","minimize","","","3845","3317","","1053"
"CPLEX HR","skill-allocation","data/mznc2020/skill-allocation/skill_allocation_only.mzn","data/mznc2020/skill-allocation/skill_allocation_mzn_2m_3.dzn","OPTIMAL_SOLUTION","352.1139878965914","","17.4268","","1473","85544","461","","0","mznc","1","","330.8967","3120","","","","3","","","","minimize","","","3","73827","","44098"
"SCIP","pentominoes","data/mznc2020/pentominoes/pentominoes-int.mzn","data/mznc2020/pentominoes/02.dzn","UNKNOWN","1201.310429893434","","28.7893","","","46484","","","0","mznc","","","","","","","","","","","","satisfy","","","","193716","",""
"SCIP","tower_challenge","data/mznc2020/tower_challenge/tower.mzn","data/mznc2020/tower_challenge/tower_070_070_15_070-04.dzn","SATISFIED","1200.438494514674","","1.45467","","8364","9690","","1104","0","mznc","1","","1198.3418","","","","","70","","","430","maximize","","","50","3600","","4178"
"CBC","lot-sizing","data/mznc2019/lot-sizing/lot_sizing_cp.mzn","data/mznc2019/lot-sizing/pigment30b.psp.dzn","UNKNOWN","1201.1570212505758","","0.602588","","","1552","","330","0","mznc","","","","","","","","","","","","minimize","","","","5738","","1513"
"CPLEX","triangular","data/mznc2019/triangular/triangular.mzn","data/mznc2019/triangular/n23.dzn","SATISFIED","1201.0887963213027","","0.515625","","55856","12651","","","0","mznc","1","","1176.8089","","","","","139","","","33206","maximize","","","53","277","",""
"CPLEX HR","racp","data/mznc2020/racp/racp.mzn","data/mznc2020/racp/j60_9_9_1.25.dzn","SATISFIED","1200.8258550390601","","4.05933","","13595","27355","","","0","mznc","1","","1195.8018","1921","","","","250","","","2571","minimize","","","586","12152","","6723"
"Gurobi","pillars-and-planks","data/mznc2020/pillars-and-planks/pillars-planks-solution.mzn","data/mznc2020/pillars-and-planks/p-d10.dzn","UNKNOWN","1200.239306166768","","0.563824","","130761","3780","","16","0","mznc","0","","1199.298","","","","","4","","","","minimize","","","1e+308","1512","","977"
"Gecode","tower_challenge","data/mznc2020/tower_challenge/tower.mzn","data/mznc2020/tower_challenge/tower_070_070_15_100-05.dzn","SATISFIED","1200.1395171955228","308","0.301638","8090650","16181593","4010","","1736","0","mznc","51","8657889725","1199.67","","4025","100","","","4125","0","","maximize","0.025084","51","57","2289","","1536"
"CPLEX","pentominoes","data/mznc2020/pentominoes/pentominoes-int.mzn","data/mznc2020/pentominoes/05.dzn","UNKNOWN","1201.2291016541421","","36.3842","","","53124","","","0","mznc","","","","","","","","","","","","satisfy","","","","257876","",""
"CBC HR","steelmillslab","data/mznc2019/steelmillslab/steelmillslab.mzn","data/mznc2019/steelmillslab/bench_19_6.dzn","UNKNOWN","1201.1803033463657","","3.03914","","","7457","","110","0","mznc","","","","110","","","","","","","","minimize","","","","20090","","12541"
"Gurobi","lot-sizing","data/mznc2020/lot-sizing/lot_sizing_cp.mzn","data/mznc2020/lot-sizing/pigment30a.psp.dzn","SATISFIED","1200.231693021953","","0.571815","","71972","1487","","360","0","mznc","1","","1199.9623","","","","","437","","","26117","minimize","","","1119","6420","","1632"
"CBC HR","code-generator","data/mznc2019/code-generator/unison.mzn","data/mznc2019/code-generator/mips_gobmk.helpers.dragon_weak.dzn","UNKNOWN","1201.4165495298803","","66.2354","","","372200","1559","746","0","mznc","","","","41119","","","","","","","","minimize","","","","292191","","62055"
"CPLEX HR","kidney-exchange","data/mznc2019/kidney-exchange/ccmcp.mzn","data/mznc2019/kidney-exchange/3_25_0.20_3.dzn","OPTIMAL_SOLUTION","469.3560411259532","","0.427089","","85236","2028","","600","0","mznc","1","","468.7556","","","","","1448","","","","maximize","","","1448","1495","","1250"
"Gurobi HR","bnn-planner","data/mznc2020/bnn-planner/navigation_5x5_10s.mzn","","UNKNOWN","1200.722747605294","","5.74405","","18001","5641","","","0","mznc","0","","1194.126","","","","","0.999999","","","","minimize","","","1e+308","2874","","2810"
"Gecode HR","racp","data/mznc2020/racp/racp.mzn","data/mznc2020/racp/j30_26_2_1.0.dzn","SATISFIED","1200.1014744080603","50","0.117779","21006358","42012760","492","","435","0","mznc","5","5794385890","1199.85","435","470","337","","","614","0","","minimize","0.004873","5","704","35","",""
"Gurobi HR","racp","data/mznc2020/racp/racp.mzn","data/mznc2020/racp/j60_48_9_1.0.dzn","SATISFIED","1201.0086319111288","","4.63438","","10259","28219","","","0","mznc","1","","1200.2794","1854","","","","566","","","4666","minimize","","","732","12170","","6726"
"Gurobi HR","hoist-benchmark-for-minizinc","data/mznc2020/hoist-benchmark-for-minizinc/hoist-benchmark.mzn","data/mznc2020/hoist-benchmark-for-minizinc/PU_3_8_5.dzn","OPTIMAL_SOLUTION","7.266305740922689","","1.10448","","665","5474","1332","","0","mznc","1","","7.1266","3330","","","","400","","","131","minimize","","","400","2773","",""
"CBC","p1f-pjs","data/mznc2020/p1f-pjs/p1f-pjs.mzn","data/mznc2020/p1f-pjs/16.dzn","UNKNOWN","1201.2162057198584","","15.3056","","","76391","","25200","0","mznc","","","","","","","","","","","","minimize","","","","61079","","76050"
"CBC HR","zephyrus","data/mznc2019/zephyrus/zephyrus.mzn","data/mznc2019/zephyrus/12__6__6__3.dzn","OPTIMAL_SOLUTION","13.473101619631052","","0.690653","","10","5571","","88","0","mznc","1","","12.5546","165","","","","780","","","-1","minimize","","","780","2799","","368"
"Gecode HR","soccer-computational","data/mznc2020/soccer-computational/ecp.mzn","data/mznc2020/soccer-computational/xIGData_28_23_16_1.dzn","UNKNOWN","1200.189956896007","558","0.527303","6909802","13820124","5761","","2376","0","mznc","0","7962236491","1199.45","","5732","","","","5760","0","","satisfy","0.038385","0","","3340","","2376"
"Gecode","p1f-pjs","data/mznc2020/p1f-pjs/p1f-pjs.mzn","data/mznc2020/p1f-pjs/17.dzn","UNSATISFIABLE","573.3902012258768","17","0.434227","645121","1290241","2209","","","0","mznc","0","566415939","572.75","","4233","","","","2209","0","","minimize","0.027621","0","","4233","",""
"Gurobi","p1f-pjs","data/mznc2020/p1f-pjs/p1f-pjs.mzn","data/mznc2020/p1f-pjs/16.dzn","UNKNOWN","1201.1824809871614","","15.4929","","","76391","","25200","0","mznc","","","","","","","","","","","","minimize","","","","61079","","76050"
"SCIP HR","racp","data/mznc2020/racp/racp.mzn","data/mznc2020/racp/j60_13_4_1.0.dzn","SATISFIED","1201.1026734486222","","4.97017","","59197","30192","","","0","mznc","1","","1194.9207","2664","","","","754.75","","","8764","minimize","","","938","13044","","6785"
"Gecode","whirlpool","data/mznc2020/whirlpool/whirlpool-x.mzn","data/mznc2020/whirlpool/d29.dzn","UNKNOWN","1200.247197944671","128","0.217751","2256575","4513203","7073","","3136","0","mznc","0","2651354308","1199.75","","7911","","","","7073","0","","satisfy","0.061343","0","","4775","","3136"
"Gurobi HR","is","data/mznc2020/is/model.mzn","data/mznc2020/is/A3PZaPjnUz.dzn","ERROR","","","","","","","","","","mznc","","","","","","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","","","","","","","",""
"CBC","triangular","data/mznc2019/triangular/triangular.mzn","data/mznc2019/triangular/n37.dzn","UNKNOWN","1201.177532132715","","3.4987","","","82252","","","0","mznc","","","","","","","","","","","","maximize","","","","704","",""
"Gecode HR","pentominoes","data/mznc2020/pentominoes/pentominoes-int.mzn","data/mznc2020/pentominoes/02.dzn","SATISFIED","0.2928890511393547","24","0.157942","64","143","10","","","0","mznc","1","936","0.024883","","72","","","","10","0","","satisfy","0.010349","1","","64","",""
"Gurobi HR","rotating-workforce","data/mznc2019/rotating-workforce/rotating-workforce.mzn","data/mznc2019/rotating-workforce/Example1337.dzn","SATISFIED","170.73078797757626","","3.30465","","1848","6409","","64","0","mznc","1","","170.456","304","","","","0","","","3","satisfy","","","0","8096","","1120"
"CBC HR","racp","data/mznc2020/racp/racp.mzn","data/mznc2020/racp/j60_10_6_1.25.dzn","SATISFIED","1186.9348472207785","","3.94707","","2726","27228","","","0","mznc","1","","1181.8386","2084","","","","310","","","-1","minimize","","","1048","11970","","6397"
"Gecode HR","stack-cuttingstock","data/mznc2019/stack-cuttingstock/stack-cutstock-cumu.mzn","data/mznc2019/stack-cuttingstock/d3.dzn","OPTIMAL_SOLUTION","28.49035730585456","23","0.042247","2501326","5002671","152","","20","0","mznc","10","404878961","28.3625","","155","","","","267","0","","minimize","0.001386","10","16","119","","20"
"SCIP","median-string","data/mznc2019/median-string/median_string_dp.mzn","data/mznc2019/median-string/p2_2_20-2.dzn","SATISFIED","1200.8140475451946","","2.05734","","12625","13383","","100","0","mznc","1","","1197.8293","","","","","0","","","6651","minimize","","","12","8147","","6156"
"SCIP","stochastic-vrp","data/mznc2019/stochastic-vrp/vrp-s2-v2-c9_vrp-v2-c9_det.mzn","","SATISFIED","1200.756929077208","","0.512657","","366844","3151","","360","0","mznc","1","","1199.3434","","","","","47","","","140875","minimize","","","190","1080","","1320"
"CBC","cable_tree_wiring","data/mznc2020/cable_tree_wiring/ctw.mzn","data/mznc2020/cable_tree_wiring/R196.dzn","UNKNOWN","1165.7673643119633","","8.60004","","0","57600","","","0","mznc","0","","1154.5527","","","","","9329548.25331","","","-1","minimize","","","1e+308","47606","","10654"
"SCIP","cable_tree_wiring","data/mznc2020/cable_tree_wiring/ctw.mzn","data/mznc2020/cable_tree_wiring/A031.dzn","OPTIMAL_SOLUTION","262.4084929227829","","0.337633","","54369","1672","","","0","mznc","1","","261.8639","","","","","24104","","","","minimize","","","24104","1340","","290"
"SCIP","minimal-decision-sets","data/mznc2020/minimal-decision-sets/sparse_mds.mzn","data/mznc2020/minimal-decision-sets/cleve_train5.dzn","SATISFIED","1201.1286922954023","","4.11308","","9491","21716","","","0","mznc","1","","1195.7603","","","","","60","","","278","minimize","","","116","19872","","5490"
"CBC HR","collaborative-construction","data/mznc2020/collaborative-construction/macc.mzn","data/mznc2020/collaborative-construction/37.dzn","UNKNOWN","968.7458572275937","","9.64785","","12","67724","","3460","0","mznc","0","","956.4272","3007","","","","3","","","-1","minimize","","","1e+308","27398","","11783"
"Gecode","lot-sizing","data/mznc2019/lot-sizing/lot_sizing_cp.mzn","data/mznc2019/lot-sizing/pigment20a.psp.dzn","OPTIMAL_SOLUTION","141.72568421065807","33","0.05444","1693974","3388045","159","","57","0","mznc","49","325885781","141.569","","150","38","","","216","0","","minimize","0.002183","49","1147","93","","57"
"Gecode HR","multi-knapsack","data/mznc2019/multi-knapsack/mknapsack_global.mzn","data/mznc2019/multi-knapsack/mknap2-2.dzn","SATISFIED","1200.0674172118306","36","0.102845","54586764","109173546","32","","","0","mznc","1","4257244816","1199.87","","91","","","","32","0","","maximize","0.001971","1","8722","91","",""
"Gurobi HR","ptv","data/mznc2019/ptv/pax_model.mzn","data/mznc2019/ptv/pax_period_20_2b.dzn","OPTIMAL_SOLUTION","1.331114772707224","","1.14932","","0","1044","12","","0","mznc","1","","1.2206","24","","","","3077","","","","minimize","","","3077","3152","","966"
"CPLEX","minimal-decision-sets","data/mznc2020/minimal-decision-sets/sparse_mds.mzn","data/mznc2020/minimal-decision-sets/colic_train4.dzn","SATISFIED","1201.0720120929182","","5.30429","","1769","29368","","","0","mznc","1","","1194.5367","","","","","49.5","","","913","minimize","","","266","38872","","8066"
"SCIP HR","hrc","data/mznc2019/hrc/hrc.mzn","data/mznc2019/hrc/exp2-1-5145.dzn","OPTIMAL_SOLUTION","214.34819906577468","","1.5744","","1223","6189","662","865","0","mznc","1","","212.1561","1353","","","","2","","","","minimize","","","2","5681","","2183"
"Gecode HR","fox-geese-corn","data/mznc2019/fox-geese-corn/foxgeesecorn.mzn","data/mznc2019/fox-geese-corn/fgc_06_07_08_00.dzn","SATISFIED","1200.0742796324193","79","0.070398","35954074","71909712","643","","387","0","mznc","36","7773490496","1199.9","300","896","120","","","755","0","","maximize","0.005347","36","144","380","60","117"
"CPLEX","groupsplitter","data/mznc2019/groupsplitter/group.mzn","data/mznc2019/groupsplitter/u7g2pref1.dzn","UNKNOWN","1201.5911272130907","","141.014","","","333","","","0","mznc","","","","","","","","","","","","maximize","","","","1768677","","28"
"Gurobi HR","stack-cuttingstock","data/mznc2019/stack-cuttingstock/stack-cutstock-cumu.mzn","data/mznc2019/stack-cuttingstock/d8.dzn","OPTIMAL_SOLUTION","33.70614172145724","","0.147493","","5861","1560","","","0","mznc","1","","33.6598","","","","","58","","","475","minimize","","","58","1021","","290"
"SCIP HR","p1f-pjs","data/mznc2020/p1f-pjs/p1f-pjs.mzn","data/mznc2020/p1f-pjs/10.dzn","UNKNOWN","1200.7626504078507","","2.42953","","3854","11219","","3240","0","mznc","0","","1197.4282","","","","","300","","","757","minimize","","","1e+20","8864","","9882"
"CPLEX","median-string","data/mznc2019/median-string/median_string_dp.mzn","data/mznc2019/median-string/p2_10_8-3.dzn","SATISFIED","1200.459609579295","","1.79905","","2399","12896","","40","0","mznc","1","","1198.0572","","","","","16.3473919173","","","597","minimize","","","37","8197","","5676"
"CBC HR","steelmillslab","data/mznc2019/steelmillslab/steelmillslab.mzn","data/mznc2019/steelmillslab/bench_2_19.dzn","UNKNOWN","1201.1616324186325","","3.04741","","","7457","","110","0","mznc","","","","110","","","","","","","","minimize","","","","18758","","12541"
"Gecode","pentominoes","data/mznc2020/pentominoes/pentominoes-int.mzn","data/mznc2020/pentominoes/07.dzn","SATISFIED","4.231483783572912","41","0.206438","12689","25393","12","","","0","mznc","1","177015","3.89823","","64","","","","12","0","","satisfy","0.020913","1","","60","",""
"Gurobi","tower_challenge","data/mznc2020/tower_challenge/tower.mzn","data/mznc2020/tower_challenge/tower_070_070_15_070-04.dzn","SATISFIED","1200.3740449510515","","1.44027","","38168","9690","","1104","0","mznc","1","","1200.0341","","","","","70","","","4027","maximize","","","57","3600","","4178"
"CPLEX","gbac","data/mznc2020/gbac/gbac.mzn","data/mznc2020/gbac/UD9-gbac.dzn","SATISFIED","1201.048651393503","","4.94399","","4435","5839","","","0","mznc","1","","1194.931","","","","","87.822643614","","","3100","minimize","","","1125","59578","","2727"
"CPLEX HR","ptv","data/mznc2019/ptv/pax_model.mzn","data/mznc2019/ptv/pax_period_20_2b.dzn","OPTIMAL_SOLUTION","1.2982400953769684","","1.11993","","0","1044","12","","0","mznc","1","","0.0145","24","","","","3077","","","","minimize","","","3077","3152","","966"
"CPLEX HR","stochastic-vrp","data/mznc2019/stochastic-vrp/vrp-s4-v2-c3_svrp-v2-c3_det.mzn","","OPTIMAL_SOLUTION","0.5370279029011726","","0.232831","","196","1141","","96","0","mznc","1","","0.2105","","","","","117","","","","minimize","","","117","512","","480"
"Gecode HR","gbac","data/mznc2020/gbac/gbac.mzn","data/mznc2020/gbac/UD10-gbac.dzn","SATISFIED","1200.1063656434417","181","0.154344","53868421","107737347","825","","110","0","mznc","180","4941996713","1199.82","","859","","","","799","0","","minimize","0.005829","180","11821","749","","110"
"SCIP","tower_challenge","data/mznc2020/tower_challenge/tower.mzn","data/mznc2020/tower_challenge/tower_070_070_15_070-06.dzn","SATISFIED","1200.4400639757514","","1.5194","","2125","9832","","1120","0","mznc","1","","1198.2952","","","","","70","","","45","maximize","","","48","3652","","4241"
"CBC","ptv","data/mznc2019/ptv/pax_model.mzn","data/mznc2019/ptv/pax_period_20_2b.dzn","OPTIMAL_SOLUTION","1.398876592516899","","1.12851","","0","1110","","","0","mznc","1","","0.1148","","","","","3077","","","-1","minimize","","","3077","3212","","1020"
"SCIP","pentominoes","data/mznc2020/pentominoes/pentominoes-int.mzn","data/mznc2020/pentominoes/05.dzn","ERROR","","","","","","","","","","mznc","","","","","","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","","","","","","","",""
"SCIP","ptv","data/mznc2019/ptv/pax_model.mzn","data/mznc2019/ptv/pax_period_20_2b.dzn","OPTIMAL_SOLUTION","1.4499209485948086","","1.1695","","1","1110","","","0","mznc","1","","0.0996","","","","","3077","","","","minimize","","","3077","3212","","1020"
"SCIP","zephyrus","data/mznc2019/zephyrus/zephyrus.mzn","data/mznc2019/zephyrus/14__10__6__3.dzn","OPTIMAL_SOLUTION","9.348485060036182","","0.785599","","22","7190","","96","0","mznc","1","","8.241199","","","","","1690","","","","minimize","","","1690","3522","","607"
"Gecode HR","pillars-and-planks","data/mznc2020/pillars-and-planks/pillars-planks-solution.mzn","data/mznc2020/pillars-and-planks/p-d7.dzn","UNKNOWN","1200.0965322218835","83","0.056007","48704351","97408727","268","","32","0","mznc","0","6055913595","1199.91","32","235","16","","","286","0","","minimize","0.002685","0","","203","",""
"CPLEX HR","pentominoes","data/mznc2020/pentominoes/pentominoes-int.mzn","data/mznc2020/pentominoes/06.dzn","ERROR","","","","","","","","","","mznc","","","","","","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","","","","","","","",""
"CPLEX HR","racp","data/mznc2020/racp/racp.mzn","data/mznc2020/racp/j60_48_9_1.0.dzn","SATISFIED","1200.9149476327002","","4.7363","","8097","28219","","","0","mznc","1","","1195.1143","1854","","","","541.095189589","","","3999","minimize","","","773","12170","","6726"
"CPLEX HR","rotating-workforce","data/mznc2019/rotating-workforce/rotating-workforce.mzn","data/mznc2019/rotating-workforce/Example1174.dzn","UNSATISFIABLE","3.23618695512414","","2.2835","","0","4882","","48","0","mznc","0","","0.6397","236","","","","1e+75","","","","satisfy","","","1e+308","6670","","673"
"CPLEX HR","skill-allocation","data/mznc2020/skill-allocation/skill_allocation_only.mzn","data/mznc2020/skill-allocation/skill_allocation_mzn_3m_3.dzn","UNKNOWN","1201.304662939161","","43.3828","","","260011","848","","0","mznc","","","","6217","","","","","","","","minimize","","","","157826","","68761"
"CBC","ptv","data/mznc2019/ptv/pax_model.mzn","data/mznc2019/ptv/pax_period_20_1c.dzn","OPTIMAL_SOLUTION","82.26863032951951","","1.60396","","17115","3642","","","0","mznc","1","","80.3974","","","","","1521","","","-1","minimize","","","1521","5843","","3547"
"SCIP","amaze","data/mznc2019/amaze/amaze3.mzn","data/mznc2019/amaze/2012-07-13.dzn","SATISFIED","98.59469043463469","","0.271192","","8137","1831","","","0","mznc","1","","98.1676","","","","","0","","","","satisfy","","","0","3057","","1873"
"Gurobi HR","lot-sizing","data/mznc2019/lot-sizing/lot_sizing_cp.mzn","data/mznc2019/lot-sizing/pigment20a.psp.dzn","OPTIMAL_SOLUTION","941.4107200503349","","0.682135","","14027","1905","","340","0","mznc","1","","941.2108","323","","","","1147","","","2922","minimize","","","1147","7828","","1154"
